architecture,cell,accuracy,macro_f1,n,train_seconds
tfidf_logreg,agent->agent,0.5636,0.5585,456,5.6
tfidf_logreg,agent->human,0.3967,0.3676,242,5.6
tfidf_logreg,human->agent,0.3969,0.4024,456,7.4
tfidf_logreg,human->human,0.3223,0.3273,242,7.4
embed_mlp,agent->agent,0.5088,0.4587,456,41.5
embed_mlp,agent->human,0.3182,0.3045,242,41.5
embed_mlp,human->agent,0.3158,0.3034,456,27.0
embed_mlp,human->human,0.3099,0.2869,242,27.0
distilbert,agent->agent,0.4364,0.3580,456,119.5
distilbert,agent->human,0.3223,0.3139,242,119.5
distilbert,human->agent,0.3004,0.2909,456,135.8
distilbert,human->human,0.2975,0.2662,242,135.8
mnl_baseline,agent->agent,0.4518,0.4503,456,0.4
mnl_baseline,agent->human,0.3719,0.3079,242,0.4
mnl_baseline,human->agent,0.3421,0.3445,456,0.4
mnl_baseline,human->human,0.2975,0.2821,242,0.4
hier_bayes,agent->agent,0.4649,0.4681,456,603.0
hier_bayes,agent->human,0.3264,0.3007,242,603.0
hier_bayes,human->agent,0.3114,0.3127,456,1888.0
hier_bayes,human->human,0.3347,0.3335,242,1888.0
consensus,agent->agent,0.2544,0.1014,456,0.1
consensus,agent->human,0.3223,0.1219,242,0.1
consensus,human->agent,0.2544,0.1014,456,0.0
consensus,human->human,0.3223,0.1219,242,0.0
majority,agent->agent,0.2544,0.1014,456,0.0
majority,agent->human,0.3223,0.1219,242,0.0
majority,human->agent,0.2544,0.1014,456,0.0
majority,human->human,0.3223,0.1219,242,0.0
